"SpatialDimValueCode","Location","FactValueNumeric"
"COG","Congo",10.05
"MOZ","Mozambique",10.05
"KEN","Kenya",10.03
"IND","India",9.95
"MDG","Madagascar",10.09
"MOZ","Mozambique",10.1
"MOZ","Mozambique",10.14
"KGZ","Kyrgyzstan",10.09
"ZWE","Zimbabwe",10.17
"SWZ","Eswatini",10.21
"RWA","Rwanda",10.21
"TZA","United Republic of Tanzania",10.17
"ERI","Eritrea",10.34
"COM","Comoros",10.33
"IND","India",10.3
"SOM","Somalia",10.44
"BDI","Burundi",10.41
"SOM","Somalia",10.39
"DJI","Djibouti",10.37
"NGA","Nigeria",10.42
"NER","Niger",10.37
"MWI","Malawi",10.35
"TJK","Tajikistan",10.42
"GIN","Guinea",10.49
"TZA","United Republic of Tanzania",10.5
"GRL","Greenland",10.48
"ZWE","Zimbabwe",10.46
"MWI","Malawi",10.57
"COG","Congo",10.55
"COG","Congo",10.63
"BGD","Bangladesh",10.59
"ERI","Eritrea",10.69
"TCD","Chad",10.7
"NPL","Nepal",10.73
"SEN","Senegal",10.77
"GNB","Guinea-Bissau",10.85
"TGO","Togo",10.84
"SOM","Somalia",10.94
"DJI","Djibouti",10.95
"GMB","Gambia",10.94
"KEN","Kenya",10.89
"NAM","Namibia",10.92
"MMR","Myanmar",10.92
"NPL","Nepal",10.88
"TGO","Togo",10.9
"TCD","Chad",10.99
"GRL","Greenland",11.01
"COG","Congo",10.98
"IND","India",10.98
"NER","Niger",11.1
"NPL","Nepal",11.19
"DJI","Djibouti",11.15
"NGA","Nigeria",11.24
"SOM","Somalia",11.31
"COG","Congo",11.4
"HTI","Haiti",11.39
"ZWE","Zimbabwe",11.41
"MWI","Malawi",11.44
"KGZ","Kyrgyzstan",11.43
"SLE","Sierra Leone",11.42
"CAF","Central African Republic",11.53
"GNB","Guinea-Bissau",11.51
"KGZ","Kyrgyzstan",11.51
"GHA","Ghana",11.55
"IND","India",11.59
"GNQ","Equatorial Guinea",11.59
"AGO","Angola",11.58
"AGO","Angola",11.62
"GIN","Guinea",11.59
"KGZ","Kyrgyzstan",11.55
"UKR","Ukraine",11.63
"ERI","Eritrea",11.72
"GMB","Gambia",11.74
"GNB","Guinea-Bissau",11.75
"SLE","Sierra Leone",11.68
"MOZ","Mozambique",11.68
"TGO","Togo",11.71
"KEN","Kenya",11.7
"GMB","Gambia",11.73
"IND","India",11.66
"SSD","South Sudan",11.9
"GRL","Greenland",12.02
"SLE","Sierra Leone",12.04
"NGA","Nigeria",12.04
"UGA","Uganda",12.01
"BWA","Botswana",12.11
"BEN","Benin",12.05
"LAO","Lao People's Democratic Republic",12.06
"ERI","Eritrea",12.15
"NER","Niger",12.12
"SOM","Somalia",12.21
"GNB","Guinea-Bissau",12.24
"AGO","Angola",12.15
"GMB","Gambia",12.24
"CZE","Czechia",12.15
"SLE","Sierra Leone",12.21
"VNM","Viet Nam",12.24
"ZMB","Zambia",12.27
"TGO","Togo",12.25
"COG","Congo",12.37
"ERI","Eritrea",12.43
"TCD","Chad",12.38
"SSD","South Sudan",12.45
"HTI","Haiti",12.35
"CPV","Cabo Verde",12.39
"DJI","Djibouti",12.48
"KEN","Kenya",12.52
"GNB","Guinea-Bissau",12.53
"GIN","Guinea",12.53
"ZMB","Zambia",12.47
"GMB","Gambia",12.54
"CPV","Cabo Verde",12.6
"GAB","Gabon",12.56
"AGO","Angola",12.6
"ZWE","Zimbabwe",12.65
"TGO","Togo",12.59
"GMB","Gambia",12.6
"BEN","Benin",12.56
"ZWE","Zimbabwe",12.66
"CMR","Cameroon",12.74
"DJI","Djibouti",12.72
"SOM","Somalia",12.72
"AGO","Angola",12.72
"GNB","Guinea-Bissau",12.66
"KGZ","Kyrgyzstan",12.71
"COM","Comoros",12.66
"SLE","Sierra Leone",12.75
"JPN","Japan",12.81
"GNB","Guinea-Bissau",12.81
"GRL","Greenland",12.78
"TGO","Togo",12.79
"PHL","Philippines",12.84
"GMB","Gambia",12.95
"LSO","Lesotho",12.85
"SWZ","Eswatini",12.93
"SDN","Sudan",12.9
"HTI","Haiti",12.86
"LSO","Lesotho",12.91
"PHL","Philippines",12.86
"PHL","Philippines",12.88
"SSD","South Sudan",12.99
"SOM","Somalia",13.03
"LAO","Lao People's Democratic Republic",13.04
"MMR","Myanmar",13.01
"CPV","Cabo Verde",13
"TKM","Turkmenistan",13.04
"RUS","Russian Federation",13.13
"IND","India",13.09
"UKR","Ukraine",13.11
"TCD","Chad",13.09
"STP","Sao Tome and Principe",13.09
"TGO","Togo",13.08
"BEN","Benin",13.07
"SLE","Sierra Leone",13.14
"DJI","Djibouti",13.24
"NAM","Namibia",13.2
"KGZ","Kyrgyzstan",13.23
"GRL","Greenland",13.16
"LSO","Lesotho",13.17
"KEN","Kenya",13.21
"AGO","Angola",13.3
"MOZ","Mozambique",13.29
"SSD","South Sudan",13.29
"STP","Sao Tome and Principe",13.32
"TKM","Turkmenistan",13.27
"KHM","Cambodia",13.28
"COD","Democratic Republic of the Congo",13.37
"STP","Sao Tome and Principe",13.44
"TKM","Turkmenistan",13.42
"JPN","Japan",13.53
"CAF","Central African Republic",13.54
"GNQ","Equatorial Guinea",13.5
"COM","Comoros",13.54
"BEN","Benin",13.48
"KEN","Kenya",13.57
"AGO","Angola",13.58
"NER","Niger",13.55
"LSO","Lesotho",13.64
"KGZ","Kyrgyzstan",13.57
"SLE","Sierra Leone",13.61
"SLB","Solomon Islands",13.69
"ZMB","Zambia",13.67
"RWA","Rwanda",13.81
"GIN","Guinea",13.81
"CIV","Cote d'Ivoire",13.78
"COD","Democratic Republic of the Congo",13.84
"BEN","Benin",13.83
"DNK","Denmark",13.93
"ERI","Eritrea",13.92
"TGO","Togo",13.89
"MRT","Mauritania",13.89
"GNB","Guinea-Bissau",13.88
"GRL","Greenland",13.88
"NAM","Namibia",13.94
"MDA","Republic of Moldova",13.88
"COG","Congo",14
"CAF","Central African Republic",14
"CMR","Cameroon",14.01
"MLI","Mali",14.03
"STP","Sao Tome and Principe",14.01
"GNQ","Equatorial Guinea",14.13
"FJI","Fiji",14.08
"BEN","Benin",14.14
"GMB","Gambia",14.05
"GIN","Guinea",14.12
"ZWE","Zimbabwe",14.06
"BEN","Benin",14.16
"VNM","Viet Nam",14.27
"BLR","Belarus",14.28
"CPV","Cabo Verde",14.26
"BTN","Bhutan",14.35
"SDN","Sudan",14.33
"COD","Democratic Republic of the Congo",14.32
"ZAF","South Africa",14.43
"CZE","Czechia",14.4
"MDG","Madagascar",14.36
"SOM","Somalia",14.44
"COM","Comoros",14.42
"LSO","Lesotho",14.43
"GIN","Guinea",14.44
"CAF","Central African Republic",14.35
"GNQ","Equatorial Guinea",14.4
"BTN","Bhutan",14.41
"UGA","Uganda",14.35
"GHA","Ghana",14.46
"DJI","Djibouti",14.46
"BDI","Burundi",14.48
"ZMB","Zambia",14.54
"PHL","Philippines",14.59
"BTN","Bhutan",14.56
"BWA","Botswana",14.62
"STP","Sao Tome and Principe",14.59
"YEM","Yemen",14.63
"MDA","Republic of Moldova",14.64
"KHM","Cambodia",14.58
"GIN","Guinea",14.64
"MLI","Mali",14.72
"CAF","Central African Republic",14.72
"GNQ","Equatorial Guinea",14.68
"SSD","South Sudan",14.71
"BWA","Botswana",14.67
"SSD","South Sudan",14.72
"LKA","Sri Lanka",14.72
"CAF","Central African Republic",14.72
"COD","Democratic Republic of the Congo",14.68
"GIN","Guinea",14.77
"DNK","Denmark",14.78
"CZE","Czechia",14.78
"GNQ","Equatorial Guinea",14.75
"STP","Sao Tome and Principe",14.82
"LAO","Lao People's Democratic Republic",14.92
"PHL","Philippines",14.99
"COM","Comoros",14.99
"TKM","Turkmenistan",15.11
"KAZ","Kazakhstan",15.14
"JPN","Japan",15.13
"NAM","Namibia",15.15
"SLE","Sierra Leone",15.15
"ZMB","Zambia",15.07
"MMR","Myanmar",15.08
"COD","Democratic Republic of the Congo",15.14
"FRA","France",15.21
"COD","Democratic Republic of the Congo",15.22
"UZB","Uzbekistan",15.15
"GRL","Greenland",15.24
"CAF","Central African Republic",15.34
"GNQ","Equatorial Guinea",15.32
"LBR","Liberia",15.31
"BWA","Botswana",15.33
"ZMB","Zambia",15.39
"MLI","Mali",15.43
"ZAF","South Africa",15.43
"JPN","Japan",15.42
"LAO","Lao People's Democratic Republic",15.37
"CIV","Cote d'Ivoire",15.49
"PAK","Pakistan",15.52
"NAM","Namibia",15.54
"GRL","Greenland",15.45
"MLI","Mali",15.62
"MRT","Mauritania",15.59
"COD","Democratic Republic of the Congo",15.59
"COM","Comoros",15.57
"FRA","France",15.74
"RUS","Russian Federation",15.7
"SSD","South Sudan",15.72
"ZMB","Zambia",15.71
"BWA","Botswana",15.69
"TKM","Turkmenistan",15.76
"RWA","Rwanda",15.79
"PHL","Philippines",15.77
"LKA","Sri Lanka",15.93
"NLD","Netherlands (Kingdom of the)",15.87
"GAB","Gabon",15.94
"LBR","Liberia",15.95
"CAF","Central African Republic",15.87
"CIV","Cote d'Ivoire",15.93
"GRL","Greenland",15.85
"SDN","Sudan",15.91
"MLI","Mali",15.93
"BEN","Benin",15.85
"MLI","Mali",16.01
"UGA","Uganda",16.01
"GHA","Ghana",15.97
"GNQ","Equatorial Guinea",15.98
"CPV","Cabo Verde",15.97
"LBR","Liberia",16.05
"BWA","Botswana",16.01
"MDA","Republic of Moldova",15.98
"LTU","Lithuania",16.08
"FRA","France",16.08
"CMR","Cameroon",16.09
"MNG","Mongolia",16.19
"TKM","Turkmenistan",16.16
"PHL","Philippines",16.23
"JPN","Japan",16.25
